,max (document wise),mean (document wise),min (document wise)
w1963_34415-v,0.0013793104,0.0013793104,0.0013793104
w1202397_362241-n,0.0006896552,0.0006896552,0.0006896552
w15710_3439-n,0.0020689655,0.0020689655,0.0020689655
w15710_3977-n,0.0020689655,0.0020689655,0.0020689655
w15710_9136-n,0.0020689655,0.0020689655,0.0020689655
w15710_11752-n,0.0020689655,0.0020689655,0.0020689655
w15710_13555-n,0.0020689655,0.0020689655,0.0020689655
w41020_10205-a,0.0006896552,0.0006896552,0.0006896552
w10880_2267-n,0.0006896552,0.0006896552,0.0006896552
w84813_24402-v,0.0006896552,0.0006896552,0.0006896552
w7022_1419-n,0.0013793104,0.0013793104,0.0013793104
w7022_6222-n,0.0013793104,0.0013793104,0.0013793104
w7022_8224-n,0.0013793104,0.0013793104,0.0013793104
w7022_29920-n,0.0013793104,0.0013793104,0.0013793104
w44031_11045-a,0.0006896552,0.0006896552,0.0006896552
w29487_7041-a,0.0006896552,0.0006896552,0.0006896552
w29487_13642-a,0.0006896552,0.0006896552,0.0006896552
w2891_569-v,0.0006896552,0.0006896552,0.0006896552
w2891_1298-v,0.0006896552,0.0006896552,0.0006896552
w2891_3129-v,0.0006896552,0.0006896552,0.0006896552
w2891_4320-v,0.0006896552,0.0006896552,0.0006896552
w2891_8708-v,0.0006896552,0.0006896552,0.0006896552
w2891_9449-v,0.0006896552,0.0006896552,0.0006896552
w2891_11915-v,0.0006896552,0.0006896552,0.0006896552
w2891_13846-v,0.0006896552,0.0006896552,0.0006896552
w2891_20883-v,0.0006896552,0.0006896552,0.0006896552
w2891_21314-v,0.0006896552,0.0006896552,0.0006896552
w2891_31747-v,0.0006896552,0.0006896552,0.0006896552
w2891_35628-v,0.0006896552,0.0006896552,0.0006896552
w99633_337-v,0.0006896552,0.0006896552,0.0006896552
w34705_8528-v,0.004137931,0.004137931,0.004137931
w31920_7704-v,0.0013793104,0.0013793104,0.0013793104
w31920_10838-v,0.0013793104,0.0013793104,0.0013793104
w31920_11903-v,0.0013793104,0.0013793104,0.0013793104
w31920_12960-v,0.0013793104,0.0013793104,0.0013793104
w31920_16004-v,0.0013793104,0.0013793104,0.0013793104
w31920_16657-v,0.0013793104,0.0013793104,0.0013793104
w31920_16863-v,0.0013793104,0.0013793104,0.0013793104
w31920_17441-v,0.0013793104,0.0013793104,0.0013793104
w25050_5844-a,0.0017636684,0.0012266617,0.0006896552
w7238_1464-a,0.0013793104,0.0013793104,0.0013793104
w7238_15586-a,0.0013793104,0.0013793104,0.0013793104
w12829_2755-a,0.0013793104,0.0013793104,0.0013793104
w12829_4586-a,0.0013793104,0.0013793104,0.0013793104
w12829_6220-a,0.0013793104,0.0013793104,0.0013793104
w12829_8178-a,0.0013793104,0.0013793104,0.0013793104
w12829_136-a,0.0013793104,0.0013793104,0.0013793104
w12829_19491-a,0.0013793104,0.0013793104,0.0013793104
w12829_22667-a,0.0013793104,0.0013793104,0.0013793104
w29458_7037-n,0.0006896552,0.0006896552,0.0006896552
w3597_726-a,0.0013793104,0.0013793104,0.0013793104
w3597_1464-a,0.0013793104,0.0013793104,0.0013793104
w3597_15907-a,0.0013793104,0.0013793104,0.0013793104
w3597_25660-a,0.0013793104,0.0013793104,0.0013793104
w6024_1208-v,0.0006896552,0.0006896552,0.0006896552
w6024_4630-v,0.0006896552,0.0006896552,0.0006896552
w6024_12880-v,0.0006896552,0.0006896552,0.0006896552
w116447_34900-n,0.0006896552,0.0006896552,0.0006896552
w16707_3713-a,0.0020689655,0.0020689655,0.0020689655
w33847_8293-a,0.0006896552,0.0006896552,0.0006896552
w1593_329-a,0.0013793104,0.0013793104,0.0013793104
w112555_33604-a,0.0013793104,0.0013793104,0.0013793104
w25048_5844-a,0.0006896552,0.0006896552,0.0006896552
w18330_4141-n,0.0006896552,0.0006896552,0.0006896552
w18330_10044-n,0.0006896552,0.0006896552,0.0006896552
w18330_28044-n,0.0006896552,0.0006896552,0.0006896552
w26278_6155-n,0.0006896552,0.0006896552,0.0006896552
w6606_1321-a,0.0006896552,0.0006896552,0.0006896552
